WKT,id,kemendagri_provinsi_kode,kemendagri_kota_kode,kemendagri_provinsi_nama,kemendagri_kota_nama,bps_provinsi_kode,bps_kota_kode,bps_provinsi_nama,bps_kota_nama,latitude,longitude,kode_pos,status_adm
"POINT (106.824965 -6.479679)",1.0,32.0,32.01,JAWA BARAT,KAB. BOGOR,32.0,3201.0,JAWA BARAT,KABUPATEN BOGOR,-6.479679,106.824965,16127.0,
"POINT (106.932576 -6.915727)",2.0,32.0,32.02,JAWA BARAT,KAB. SUKABUMI,32.0,3202.0,JAWA BARAT,KABUPATEN SUKABUMI,-6.915727,106.932576,17657.0,
"POINT (107.139542 -6.822558)",3.0,32.0,32.03,JAWA BARAT,KAB. CIANJUR,32.0,3203.0,JAWA BARAT,KABUPATEN CIANJUR,-6.822558,107.139542,40184.0,
"POINT (107.528627 -7.012851)",4.0,32.0,32.04,JAWA BARAT,KAB. BANDUNG,32.0,3204.0,JAWA BARAT,KABUPATEN BANDUNG,-7.012851,107.528627,40113.0,
"POINT (107.885592 -7.202988)",5.0,32.0,32.05,JAWA BARAT,KAB. GARUT,32.0,3205.0,JAWA BARAT,KABUPATEN GARUT,-7.202988,107.885592,44131.0,
"POINT (108.112488 -7.361212)",6.0,32.0,32.06,JAWA BARAT,KAB. TASIKMALAYA,32.0,3206.0,JAWA BARAT,KABUPATEN TASIKMALAYA,-7.361212,108.112488,17424.0,
"POINT (108.3514 -7.325788)",7.0,32.0,32.07,JAWA BARAT,KAB. CIAMIS,32.0,3207.0,JAWA BARAT,KABUPATEN CIAMIS,-7.325788,108.3514,40113.0,
"POINT (108.482982 -6.976233)",8.0,32.0,32.08,JAWA BARAT,KAB. KUNINGAN,32.0,3208.0,JAWA BARAT,KABUPATEN KUNINGAN,-6.976233,108.482982,40291.0,
"POINT (108.478858 -6.764507)",9.0,32.0,32.09,JAWA BARAT,KAB. CIREBON,32.0,3209.0,JAWA BARAT,KABUPATEN CIREBON,-6.764507,108.478858,45112.0,
"POINT (108.227876 -6.836531)",10.0,32.0,32.1,JAWA BARAT,KAB. MAJALENGKA,32.0,3210.0,JAWA BARAT,KABUPATEN MAJALENGKA,-6.836531,108.227876,45414.0,
"POINT (107.920102 -6.861126)",11.0,32.0,32.11,JAWA BARAT,KAB. SUMEDANG,32.0,3211.0,JAWA BARAT,KABUPATEN SUMEDANG,-6.861126,107.920102,45377.0,
"POINT (108.322903 -6.327234)",12.0,32.0,32.12,JAWA BARAT,KAB. INDRAMAYU,32.0,3212.0,JAWA BARAT,KABUPATEN INDRAMAYU,-6.327234,108.322903,45216.0,
"POINT (107.762495 -6.571549)",13.0,32.0,32.13,JAWA BARAT,KAB. SUBANG,32.0,3213.0,JAWA BARAT,KABUPATEN SUBANG,-6.571549,107.762495,41212.0,
"POINT (107.446541 -6.551701)",14.0,32.0,32.14,JAWA BARAT,KAB. PURWAKARTA,32.0,3214.0,JAWA BARAT,KABUPATEN PURWAKARTA,-6.551701,107.446541,41117.0,
"POINT (107.30529 -6.301721)",15.0,32.0,32.15,JAWA BARAT,KAB. KARAWANG,32.0,3215.0,JAWA BARAT,KABUPATEN KARAWANG,-6.301721,107.30529,41312.0,
"POINT (107.172509 -6.364614)",16.0,32.0,32.16,JAWA BARAT,KAB. BEKASI,32.0,3216.0,JAWA BARAT,KABUPATEN BEKASI,-6.364614,107.172509,17141.0,
"POINT (107.512302 -6.840651)",17.0,32.0,32.17,JAWA BARAT,KAB. BANDUNG BARAT,32.0,3217.0,JAWA BARAT,KABUPATEN BANDUNG BARAT,-6.840651,107.512302,40292.0,
"POINT (108.495155 -7.701397)",18.0,32.0,32.18,JAWA BARAT,KAB. PANGANDARAN,32.0,3218.0,JAWA BARAT,KABUPATEN PANGANDARAN,-7.701397,108.495155,17174.0,
"POINT (106.794913 -6.594946)",19.0,32.0,32.71,JAWA BARAT,KOTA BOGOR,32.0,3271.0,JAWA BARAT,KOTA BOGOR,-6.594946,106.794913,16127.0,
"POINT (106.931496 -6.918366)",20.0,32.0,32.72,JAWA BARAT,KOTA SUKABUMI,32.0,3272.0,JAWA BARAT,KOTA SUKABUMI,-6.918366,106.931496,43341.0,
"POINT (107.609757 -6.910786)",21.0,32.0,32.73,JAWA BARAT,KOTA BANDUNG,32.0,3273.0,JAWA BARAT,KOTA BANDUNG,-6.910786,107.609757,40113.0,
"POINT (108.557818 -6.707076)",22.0,32.0,32.74,JAWA BARAT,KOTA CIREBON,32.0,3274.0,JAWA BARAT,KOTA CIREBON,-6.707076,108.557818,45112.0,
"POINT (106.994293 -6.236221)",23.0,32.0,32.75,JAWA BARAT,KOTA BEKASI,32.0,3275.0,JAWA BARAT,KOTA BEKASI,-6.236221,106.994293,17141.0,
"POINT (106.822692 -6.394473)",24.0,32.0,32.76,JAWA BARAT,KOTA DEPOK,32.0,3276.0,JAWA BARAT,KOTA DEPOK,-6.394473,106.822692,16424.0,
"POINT (107.555486 -6.87121)",25.0,32.0,32.77,JAWA BARAT,KOTA CIMAHI,32.0,3277.0,JAWA BARAT,KOTA CIMAHI,-6.87121,107.555486,40523.0,
"POINT (108.1971 -7.316436)",26.0,32.0,32.78,JAWA BARAT,KOTA TASIKMALAYA,32.0,3278.0,JAWA BARAT,KOTA TASIKMALAYA,-7.316436,108.1971,46124.0,
"POINT (108.55887 -7.362487)",27.0,32.0,32.79,JAWA BARAT,KOTA BANJAR,32.0,3279.0,JAWA BARAT,KOTA BANJAR,-7.362487,108.55887,46311.0,
,28.0,32.0,0.0,JAWA BARAT,KOTA/KAB BELUM TERIDENTIFIKASI,32.0,0.0,JAWA BARAT,KOTA/KAB BELUM TERIDENTIFIKASI,,,,
